               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.033905,            0.036227,            0.013846,              0.8011,              0.7594,             0.82668,             0.50032,            0.029761,            0.019232,           0.0048821,            0.006931,            0.006931,            0.006931
                  64,             0.03379,            0.036833,            0.014143,             0.79406,             0.76869,             0.83076,             0.50041,            0.029875,            0.019304,           0.0049358,           0.0068815,           0.0068815,           0.0068815
                  65,            0.033475,            0.036277,            0.013006,             0.79102,             0.77092,             0.83289,              0.4992,            0.030195,            0.019221,           0.0046229,            0.006832,            0.006832,            0.006832
                  66,            0.033771,            0.037232,            0.013422,             0.81113,             0.76971,             0.83852,             0.50667,            0.029746,            0.019114,           0.0043568,           0.0067825,           0.0067825,           0.0067825
                  67,            0.033297,            0.036134,            0.013568,             0.78964,             0.77908,             0.83543,             0.50087,            0.029526,            0.019166,           0.0046924,            0.006733,            0.006733,            0.006733
                  68,            0.033277,            0.036074,            0.012905,             0.80139,             0.77706,             0.83777,             0.50864,            0.029729,            0.019021,           0.0051574,           0.0066835,           0.0066835,           0.0066835
                  69,            0.033641,            0.036204,            0.013077,             0.80877,             0.77597,              0.8421,             0.51192,            0.029595,            0.018745,           0.0046818,            0.006634,            0.006634,            0.006634
                  70,            0.033185,            0.035881,            0.012612,             0.79036,             0.79388,              0.8426,             0.51139,            0.029336,            0.018919,            0.004386,           0.0065845,           0.0065845,           0.0065845
                  71,            0.033186,            0.036049,            0.013242,             0.80363,              0.7931,             0.84628,             0.51211,             0.02935,            0.018898,           0.0040253,            0.006535,            0.006535,            0.006535
                  72,            0.032848,            0.036073,            0.012967,             0.81596,             0.80089,             0.85367,             0.51839,            0.029071,            0.018685,           0.0040519,           0.0064855,           0.0064855,           0.0064855
                  73,            0.033056,            0.035935,            0.011877,              0.8208,             0.78943,             0.85354,             0.51966,            0.029343,            0.018749,           0.0038401,            0.006436,            0.006436,            0.006436
                  74,            0.032598,            0.035252,            0.011892,             0.81737,             0.79297,               0.853,             0.52361,            0.029152,            0.018632,            0.003805,           0.0063865,           0.0063865,           0.0063865
                  75,            0.032891,            0.035512,            0.011516,             0.82611,             0.79849,             0.85742,             0.52819,            0.028883,            0.018636,           0.0038798,            0.006337,            0.006337,            0.006337
                  76,            0.033129,            0.036201,            0.012463,             0.83801,             0.78904,             0.86375,             0.53157,            0.028744,              0.0185,             0.00399,           0.0062875,           0.0062875,           0.0062875
                  77,            0.032675,            0.035687,            0.012388,             0.82691,             0.79771,             0.85906,             0.52774,            0.028981,            0.018632,           0.0040271,            0.006238,            0.006238,            0.006238
                  78,            0.032545,             0.03459,            0.012608,             0.82958,             0.79679,             0.86284,              0.5319,            0.028804,            0.018472,           0.0037776,           0.0061885,           0.0061885,           0.0061885
                  79,            0.032927,            0.035376,            0.011745,                0.83,             0.79686,             0.86607,               0.533,            0.028949,            0.018443,           0.0034865,            0.006139,            0.006139,            0.006139
                  80,             0.03236,            0.035234,            0.011376,             0.81899,             0.81055,             0.86529,             0.53184,            0.028844,            0.018485,           0.0033349,           0.0060895,           0.0060895,           0.0060895
                  81,            0.032308,            0.034398,            0.011416,             0.83809,             0.80617,             0.86912,             0.53591,            0.028837,             0.01849,           0.0033914,             0.00604,             0.00604,             0.00604
                  82,            0.031768,              0.0351,            0.011242,             0.82803,             0.81615,              0.8702,             0.53671,            0.028729,            0.018379,           0.0035486,           0.0059905,           0.0059905,           0.0059905
                  83,            0.031631,            0.034591,            0.011476,             0.82913,             0.80418,             0.87099,             0.53965,            0.028814,            0.018415,           0.0034434,            0.005941,            0.005941,            0.005941
                  84,             0.03211,            0.034572,            0.011077,             0.83197,             0.80756,             0.87104,             0.53868,            0.028913,            0.018345,           0.0033984,           0.0058915,           0.0058915,           0.0058915
                  85,             0.03215,            0.034672,            0.010836,             0.83766,             0.81291,              0.8754,             0.54102,             0.02868,            0.018255,            0.003232,            0.005842,            0.005842,            0.005842
